strategy,swarm_size,hazard_rate,seed,survivors_found,agents_lost,coverage_pct,duplicate_visits,timesteps_run
astar,12,fast,0,6,0,33.23529411764706,2287,200
astar,12,fast,1,7,0,38.52941176470589,2269,200
astar,12,fast,2,1,0,12.647058823529411,2357,200
astar,12,fast,3,1,12,4.705882352941177,188,17
astar,12,fast,4,3,12,6.470588235294119,206,19
astar,12,fast,5,6,0,35.294117647058826,2280,200
astar,12,fast,6,0,12,6.176470588235294,195,18
astar,12,fast,7,5,0,32.05882352941177,2291,200
astar,12,fast,8,7,6,18.823529411764707,1166,200
astar,12,fast,9,4,0,22.058823529411764,2325,200
astar,12,fast,10,5,0,36.17647058823529,2277,200
astar,12,fast,11,2,7,6.470588235294119,1020,200
astar,12,fast,12,1,0,7.647058823529412,2374,200
astar,12,fast,13,6,0,25.882352941176475,2312,200
astar,12,fast,14,7,0,36.17647058823529,2277,200
astar,12,fast,15,5,0,35.0,2281,200
astar,12,fast,16,2,12,2.6470588235294117,87,8
astar,12,fast,17,4,0,18.823529411764707,2336,200
astar,12,fast,18,1,0,25.588235294117645,2313,200
astar,12,fast,19,1,8,4.705882352941177,808,200
astar,12,fast,20,2,0,15.294117647058824,2348,200
astar,12,fast,21,0,12,2.6470588235294117,111,10
astar,12,fast,22,1,12,4.705882352941177,152,14
astar,12,fast,23,0,12,3.823529411764706,125,12
astar,12,fast,24,4,0,22.058823529411764,2325,200
astar,12,fast,25,6,0,37.64705882352941,2272,200
astar,12,fast,26,2,6,7.352941176470589,1223,200
astar,12,fast,27,7,0,36.76470588235294,2275,200
astar,12,fast,28,7,0,35.0,2281,200
astar,12,fast,29,0,11,2.6470588235294117,288,200
astar,12,medium,0,6,0,33.82352941176471,2285,200
astar,12,medium,1,5,12,7.647058823529412,238,22
astar,12,medium,2,2,12,7.352941176470589,275,25
astar,12,medium,3,4,0,32.64705882352941,2289,200
astar,12,medium,4,3,12,8.823529411764707,306,28
astar,12,medium,5,6,0,40.88235294117647,2261,200
astar,12,medium,6,1,12,7.0588235294117645,240,22
astar,12,medium,7,6,0,34.705882352941174,2282,200
astar,12,medium,8,7,6,22.35294117647059,1286,200
astar,12,medium,9,4,0,22.35294117647059,2324,200
astar,12,medium,10,5,0,38.23529411764706,2270,200
astar,12,medium,11,3,7,10.882352941176473,1033,200
astar,12,medium,12,1,4,8.823529411764707,1614,200
astar,12,medium,13,5,0,24.41176470588235,2317,200
astar,12,medium,14,8,0,40.0,2264,200
astar,12,medium,15,1,0,20.0,2332,200
astar,12,medium,16,2,12,5.294117647058823,186,17
astar,12,medium,17,4,12,9.705882352941178,231,22
astar,12,medium,18,1,0,12.941176470588236,2356,200
astar,12,medium,19,4,8,22.35294117647059,908,200
astar,12,medium,20,2,0,12.352941176470589,2358,200
astar,12,medium,21,0,12,3.823529411764706,155,14
astar,12,medium,22,4,0,22.35294117647059,2324,200
astar,12,medium,23,3,0,26.176470588235297,2311,200
astar,12,medium,24,4,0,25.882352941176475,2312,200
astar,12,medium,25,5,0,42.94117647058823,2254,200
astar,12,medium,26,4,6,12.647058823529411,1277,200
astar,12,medium,27,1,12,2.3529411764705883,100,9
astar,12,medium,28,7,0,37.35294117647059,2273,200
astar,12,medium,29,2,0,11.470588235294118,2361,200
astar,12,slow,0,6,0,23.823529411764703,2319,200
astar,12,slow,1,7,0,43.8235294117647,2251,200
astar,12,slow,2,2,2,23.823529411764703,2139,200
astar,12,slow,3,1,12,11.470588235294118,429,39
astar,12,slow,4,7,0,40.294117647058826,2263,200
astar,12,slow,5,7,0,44.70588235294118,2248,200
astar,12,slow,6,4,0,48.52941176470589,2235,200
astar,12,slow,7,6,0,42.35294117647059,2256,200
astar,12,slow,8,9,0,60.0,2196,200
astar,12,slow,9,4,0,23.52941176470588,2320,200
astar,12,slow,10,7,0,45.88235294117647,2244,200
astar,12,slow,11,8,0,55.58823529411765,2211,200
astar,12,slow,12,8,4,43.8235294117647,1559,200
astar,12,slow,13,5,0,32.35294117647059,2290,200
astar,12,slow,14,8,0,44.11764705882353,2250,200
astar,12,slow,15,1,12,7.647058823529412,190,18
astar,12,slow,16,7,6,49.705882352941174,1187,200
astar,12,slow,17,5,12,16.176470588235293,473,44
astar,12,slow,18,4,12,37.35294117647059,1457,132
astar,12,slow,19,5,0,31.176470588235293,2294,200
astar,12,slow,20,4,0,27.647058823529413,2306,200
astar,12,slow,21,4,12,14.411764705882351,635,57
astar,12,slow,22,4,0,30.58823529411765,2296,200
astar,12,slow,23,6,0,40.0,2264,200
astar,12,slow,24,4,0,37.94117647058823,2271,200
astar,12,slow,25,7,12,30.58823529411765,1228,111
astar,12,slow,26,5,12,24.705882352941178,624,64
astar,12,slow,27,6,12,34.705882352941174,1358,123
astar,12,slow,28,9,12,44.70588235294118,1297,127
astar,12,slow,29,5,12,21.470588235294116,779,71
astar,3,fast,0,6,0,33.23529411764706,487,200
astar,3,fast,1,7,0,38.52941176470589,469,200
astar,3,fast,2,1,0,12.647058823529411,557,200
astar,3,fast,3,1,3,4.705882352941177,35,17
astar,3,fast,4,3,3,5.588235294117648,38,19
astar,3,fast,5,6,0,35.294117647058826,480,200
astar,3,fast,6,0,3,6.176470588235294,33,18
astar,3,fast,7,5,0,32.05882352941177,491,200
astar,3,fast,8,7,1,18.823529411764707,341,200
astar,3,fast,9,4,0,22.058823529411764,525,200
astar,3,fast,10,5,0,36.17647058823529,477,200
astar,3,fast,11,2,2,6.470588235294119,190,200
astar,3,fast,12,1,0,7.647058823529412,574,200
astar,3,fast,13,6,0,25.882352941176475,512,200
astar,3,fast,14,7,0,36.17647058823529,477,200
astar,3,fast,15,5,0,35.0,481,200
astar,3,fast,16,2,3,2.3529411764705883,16,8
astar,3,fast,17,4,0,18.823529411764707,536,200
astar,3,fast,18,1,0,25.588235294117645,513,200
astar,3,fast,19,1,2,4.705882352941177,190,200
astar,3,fast,20,2,0,15.294117647058824,548,200
astar,3,fast,21,0,3,2.6470588235294117,21,10
astar,3,fast,22,1,3,4.705882352941177,26,14
astar,3,fast,23,0,3,3.823529411764706,21,12
astar,3,fast,24,4,0,22.058823529411764,525,200
astar,3,fast,25,6,0,37.64705882352941,472,200
astar,3,fast,26,2,1,7.352941176470589,383,200
astar,3,fast,27,7,0,36.76470588235294,475,200
astar,3,fast,28,7,0,35.0,481,200
astar,3,fast,29,0,2,2.6470588235294117,208,200
astar,3,medium,0,6,0,33.82352941176471,485,200
astar,3,medium,1,5,3,7.647058823529412,40,22
astar,3,medium,2,2,3,7.352941176470589,50,25
astar,3,medium,3,4,0,32.64705882352941,489,200
astar,3,medium,4,3,3,7.941176470588235,57,28
astar,3,medium,5,6,0,40.88235294117647,461,200
astar,3,medium,6,1,3,7.0588235294117645,42,22
astar,3,medium,7,6,0,34.705882352941174,482,200
astar,3,medium,8,7,1,22.35294117647059,351,200
astar,3,medium,9,4,0,22.35294117647059,524,200
astar,3,medium,10,5,0,38.23529411764706,470,200
astar,3,medium,11,3,2,10.882352941176473,183,200
astar,3,medium,12,1,2,8.823529411764707,192,200
astar,3,medium,13,5,0,24.41176470588235,517,200
astar,3,medium,14,8,0,40.0,464,200
astar,3,medium,15,1,0,20.0,532,200
astar,3,medium,16,2,3,5.0,34,17
astar,3,medium,17,4,3,9.705882352941178,33,22
astar,3,medium,18,1,0,12.941176470588236,556,200
astar,3,medium,19,4,2,22.35294117647059,170,200
astar,3,medium,20,2,0,12.352941176470589,558,200
astar,3,medium,21,0,3,3.823529411764706,29,14
astar,3,medium,22,4,0,22.35294117647059,524,200
astar,3,medium,23,3,0,26.176470588235297,511,200
astar,3,medium,24,4,0,25.882352941176475,512,200
astar,3,medium,25,5,0,42.94117647058823,454,200
astar,3,medium,26,4,1,12.647058823529411,377,200
astar,3,medium,27,1,3,2.3529411764705883,19,9
astar,3,medium,28,7,0,37.35294117647059,473,200
astar,3,medium,29,2,0,11.470588235294118,561,200
astar,3,slow,0,6,0,23.823529411764703,519,200
astar,3,slow,1,7,0,43.8235294117647,451,200
astar,3,slow,2,2,0,23.823529411764703,519,200
astar,3,slow,3,1,3,11.470588235294118,78,39
astar,3,slow,4,7,0,39.411764705882355,466,200
astar,3,slow,5,7,0,44.70588235294118,448,200
astar,3,slow,6,4,0,48.52941176470589,435,200
astar,3,slow,7,6,0,42.35294117647059,456,200
astar,3,slow,8,9,0,60.0,396,200
astar,3,slow,9,4,0,23.52941176470588,520,200
astar,3,slow,10,7,0,45.88235294117647,444,200
astar,3,slow,11,8,0,55.58823529411765,411,200
astar,3,slow,12,8,2,43.8235294117647,105,200
astar,3,slow,13,5,0,32.35294117647059,490,200
astar,3,slow,14,8,0,44.11764705882353,450,200
astar,3,slow,15,1,3,5.294117647058823,36,18
astar,3,slow,16,2,3,7.352941176470589,53,26
astar,3,slow,17,5,3,16.176470588235293,77,44
astar,3,slow,18,4,3,37.35294117647059,269,132
astar,3,slow,19,5,0,31.176470588235293,494,200
astar,3,slow,20,4,0,27.647058823529413,506,200
astar,3,slow,21,4,3,14.411764705882351,122,57
astar,3,slow,22,4,0,30.58823529411765,496,200
astar,3,slow,23,6,0,40.0,464,200
astar,3,slow,24,4,0,37.94117647058823,471,200
astar,3,slow,25,7,3,30.58823529411765,229,111
astar,3,slow,26,5,3,24.705882352941178,98,64
astar,3,slow,27,6,3,34.705882352941174,251,123
astar,3,slow,28,9,3,44.70588235294118,214,127
astar,3,slow,29,5,3,21.470588235294116,140,71
astar,6,fast,0,6,0,33.23529411764706,1087,200
astar,6,fast,1,7,0,38.52941176470589,1069,200
astar,6,fast,2,1,0,12.647058823529411,1157,200
astar,6,fast,3,1,6,4.705882352941177,86,17
astar,6,fast,4,3,6,5.588235294117648,95,19
astar,6,fast,5,6,0,35.294117647058826,1080,200
astar,6,fast,6,0,6,6.176470588235294,87,18
astar,6,fast,7,5,0,32.05882352941177,1091,200
astar,6,fast,8,7,2,18.823529411764707,746,200
astar,6,fast,9,4,0,22.058823529411764,1125,200
astar,6,fast,10,5,0,36.17647058823529,1077,200
astar,6,fast,11,2,3,6.470588235294119,596,200
astar,6,fast,12,1,0,7.647058823529412,1174,200
astar,6,fast,13,6,0,25.882352941176475,1112,200
astar,6,fast,14,7,0,36.17647058823529,1077,200
astar,6,fast,15,5,0,35.0,1081,200
