strategy,x,y,mean_visits
random,0,0,22.0
random,0,1,24.466666666666665
random,0,2,17.3
random,0,3,11.433333333333334
random,0,4,10.433333333333334
random,0,5,8.866666666666667
random,0,6,7.2
random,0,7,5.8
random,0,8,5.966666666666667
random,0,9,4.766666666666667
random,0,10,3.4
random,0,11,1.3
random,0,12,0.36666666666666664
random,0,13,0.13333333333333333
random,0,14,0.1
random,0,15,0.06666666666666667
random,0,16,0.0
random,0,17,0.0
random,0,18,0.0
random,0,19,0.0
random,1,0,32.7
random,1,1,29.2
random,1,2,22.5
random,1,3,16.033333333333335
random,1,4,11.666666666666666
random,1,5,9.166666666666666
random,1,6,9.1
random,1,7,6.433333333333334
random,1,8,4.466666666666667
random,1,9,3.1333333333333333
random,1,10,2.566666666666667
random,1,11,1.1333333333333333
random,1,12,0.8333333333333334
random,1,13,0.3
random,1,14,0.16666666666666666
random,1,15,0.13333333333333333
random,1,16,0.0
random,1,17,0.0
random,1,18,0.0
random,1,19,0.0
random,2,0,26.3
random,2,1,24.333333333333332
random,2,2,14.8
random,2,3,11.233333333333333
random,2,4,7.1
random,2,5,6.9
random,2,6,6.033333333333333
random,2,7,4.2
random,2,8,2.6
random,2,9,1.8
random,2,10,1.5666666666666667
random,2,11,0.4
random,2,12,0.4666666666666667
random,2,13,0.2
random,2,14,0.13333333333333333
random,2,15,0.0
random,2,16,0.0
random,2,17,0.0
random,2,18,0.0
random,2,19,0.0
random,3,0,21.833333333333332
random,3,1,18.933333333333334
random,3,2,14.333333333333334
random,3,3,10.766666666666667
random,3,4,6.266666666666667
random,3,5,6.766666666666667
random,3,6,3.7333333333333334
random,3,7,2.533333333333333
random,3,8,1.2333333333333334
random,3,9,0.7666666666666667
random,3,10,1.8
random,3,11,0.8
random,3,12,0.43333333333333335
random,3,13,0.4
random,3,14,0.26666666666666666
random,3,15,0.0
random,3,16,0.0
random,3,17,0.0
random,3,18,0.0
random,3,19,0.0
random,4,0,17.066666666666666
random,4,1,15.966666666666667
random,4,2,11.866666666666667
random,4,3,8.266666666666667
random,4,4,5.966666666666667
random,4,5,5.0
random,4,6,2.066666666666667
random,4,7,1.2
random,4,8,0.5333333333333333
random,4,9,0.8666666666666667
random,4,10,0.8666666666666667
random,4,11,0.1
random,4,12,0.3
random,4,13,0.26666666666666666
random,4,14,0.13333333333333333
random,4,15,0.03333333333333333
random,4,16,0.0
random,4,17,0.0
random,4,18,0.0
random,4,19,0.0
random,5,0,9.466666666666667
random,5,1,13.833333333333334
random,5,2,10.5
random,5,3,6.533333333333333
random,5,4,3.8333333333333335
random,5,5,3.3
random,5,6,1.5333333333333334
random,5,7,0.9666666666666667
random,5,8,0.8
random,5,9,0.43333333333333335
random,5,10,0.0
random,5,11,0.0
random,5,12,0.0
random,5,13,0.0
random,5,14,0.0
random,5,15,0.0
random,5,16,0.0
random,5,17,0.0
random,5,18,0.0
random,5,19,0.0
random,6,0,5.866666666666666
random,6,1,8.733333333333333
random,6,2,7.0
random,6,3,5.5
random,6,4,4.133333333333334
random,6,5,3.1333333333333333
random,6,6,1.8
random,6,7,0.43333333333333335
random,6,8,0.8
random,6,9,0.5666666666666667
random,6,10,0.1
random,6,11,0.26666666666666666
random,6,12,0.23333333333333334
random,6,13,0.06666666666666667
random,6,14,0.0
random,6,15,0.0
random,6,16,0.0
random,6,17,0.0
random,6,18,0.0
random,6,19,0.0
random,7,0,6.866666666666666
random,7,1,9.6
random,7,2,6.966666666666667
random,7,3,3.3666666666666667
random,7,4,1.6666666666666667
random,7,5,2.066666666666667
random,7,6,1.9666666666666666
random,7,7,0.8333333333333334
random,7,8,1.0
random,7,9,0.7666666666666667
random,7,10,0.4
random,7,11,0.5
random,7,12,0.16666666666666666
random,7,13,0.03333333333333333
random,7,14,0.0
random,7,15,0.0
random,7,16,0.0
random,7,17,0.0
random,7,18,0.0
random,7,19,0.0
random,8,0,5.033333333333333
random,8,1,5.2
random,8,2,4.333333333333333
random,8,3,3.3
random,8,4,2.7
random,8,5,2.6666666666666665
random,8,6,1.7666666666666666
random,8,7,1.6333333333333333
random,8,8,0.9333333333333333
random,8,9,0.26666666666666666
random,8,10,0.0
random,8,11,0.06666666666666667
random,8,12,0.0
random,8,13,0.0
random,8,14,0.0
random,8,15,0.0
random,8,16,0.0
random,8,17,0.0
random,8,18,0.0
random,8,19,0.0
random,9,0,4.866666666666666
random,9,1,4.766666666666667
random,9,2,3.433333333333333
random,9,3,2.3333333333333335
random,9,4,2.3333333333333335
random,9,5,2.1333333333333333
random,9,6,0.7666666666666667
random,9,7,0.8
random,9,8,0.36666666666666664
random,9,9,0.0
random,9,10,0.0
random,9,11,0.0
random,9,12,0.0
random,9,13,0.0
random,9,14,0.0
random,9,15,0.0
random,9,16,0.0
random,9,17,0.0
random,9,18,0.0
random,9,19,0.0
random,10,0,3.7
random,10,1,3.5
random,10,2,2.066666666666667
random,10,3,1.6
random,10,4,2.2666666666666666
random,10,5,1.8
random,10,6,0.43333333333333335
random,10,7,0.1
random,10,8,0.0
random,10,9,0.0
random,10,10,0.0
random,10,11,0.0
random,10,12,0.0
random,10,13,0.0
random,10,14,0.0
random,10,15,0.0
random,10,16,0.0
random,10,17,0.0
random,10,18,0.0
random,10,19,0.0
random,11,0,2.533333333333333
random,11,1,3.5
random,11,2,2.3666666666666667
random,11,3,1.8
random,11,4,1.7
random,11,5,1.0333333333333334
random,11,6,0.03333333333333333
random,11,7,0.0
random,11,8,0.0
random,11,9,0.0
random,11,10,0.0
random,11,11,0.0
random,11,12,0.0
random,11,13,0.0
random,11,14,0.0
random,11,15,0.0
random,11,16,0.0
