strategy,swarm_size,hazard_rate,seed,survivors_found,agents_lost,coverage_pct,duplicate_visits,timesteps_run
pheromone,6,medium,0,6,0,36.76470588235294,1075,200
pheromone,6,medium,1,7,3,43.8235294117647,577,200
pheromone,6,medium,2,7,2,41.76470588235294,708,200
pheromone,6,medium,3,4,1,37.35294117647059,895,200
pheromone,6,medium,4,4,6,32.35294117647059,64,36
pheromone,6,medium,5,8,5,52.94117647058824,137,200
pheromone,6,medium,6,5,5,49.411764705882355,141,200
pheromone,6,medium,7,6,1,43.529411764705884,878,200
pheromone,6,medium,8,7,1,23.823529411764703,945,200
pheromone,6,medium,9,4,2,25.882352941176475,742,200
pheromone,6,medium,10,5,1,47.94117647058824,866,200
pheromone,6,medium,11,5,5,12.941176470588237,215,200
pheromone,6,medium,12,1,4,12.352941176470589,447,200
pheromone,6,medium,13,5,1,26.764705882352942,932,200
pheromone,6,medium,14,9,0,50.294117647058826,1029,200
pheromone,6,medium,15,4,2,28.235294117647058,742,200
pheromone,6,medium,16,7,3,53.529411764705884,467,200
pheromone,6,medium,17,5,0,24.41176470588235,1117,200
pheromone,6,medium,18,1,4,32.64705882352941,399,200
pheromone,6,medium,19,6,4,35.0,343,200
pheromone,6,medium,20,4,3,23.52941176470588,597,200
pheromone,6,medium,21,2,5,18.529411764705884,234,200
pheromone,6,medium,22,6,5,30.88235294117647,152,200
pheromone,6,medium,23,2,1,22.058823529411764,944,200
pheromone,6,medium,24,4,1,31.176470588235293,912,200
pheromone,6,medium,25,6,0,39.11764705882353,1067,200
pheromone,6,medium,26,5,2,42.35294117647059,673,200
pheromone,6,medium,27,1,6,11.176470588235295,38,28
pheromone,6,medium,28,8,5,46.470588235294116,204,200
pheromone,6,medium,29,3,5,10.882352941176471,44,200
heterogeneous,6,medium,0,5,3,30.294117647058822,361,200
heterogeneous,6,medium,1,5,4,51.76470588235295,299,200
heterogeneous,6,medium,2,5,1,40.0,695,200
heterogeneous,6,medium,3,2,0,32.94117647058823,896,200
heterogeneous,6,medium,4,3,5,28.235294117647058,146,200
heterogeneous,6,medium,5,2,2,56.76470588235294,644,200
heterogeneous,6,medium,6,4,3,51.470588235294116,392,200
heterogeneous,6,medium,7,5,1,38.529411764705884,699,200
heterogeneous,6,medium,8,7,2,47.35294117647059,374,200
heterogeneous,6,medium,9,4,0,25.588235294117645,924,200
heterogeneous,6,medium,10,4,5,48.529411764705884,212,200
heterogeneous,6,medium,11,5,4,19.411764705882355,307,200
heterogeneous,6,medium,12,0,4,13.23529411764706,401,200
heterogeneous,6,medium,13,4,0,26.47058823529412,913,200
heterogeneous,6,medium,14,2,6,10.882352941176471,83,30
heterogeneous,6,medium,15,1,4,23.823529411764703,302,200
heterogeneous,6,medium,16,1,5,40.88235294117647,161,200
heterogeneous,6,medium,17,3,1,22.941176470588236,743,200
heterogeneous,6,medium,18,0,3,34.11764705882353,375,200
heterogeneous,6,medium,19,1,6,12.647058823529411,26,27
heterogeneous,6,medium,20,2,1,26.176470588235297,741,200
heterogeneous,6,medium,21,2,3,21.176470588235293,407,200
heterogeneous,6,medium,22,2,5,29.117647058823533,165,200
heterogeneous,6,medium,23,1,0,27.647058823529413,732,200
heterogeneous,6,medium,24,1,4,29.411764705882355,265,200
heterogeneous,6,medium,25,6,3,44.11764705882353,445,200
heterogeneous,6,medium,26,3,4,30.58823529411765,185,200
heterogeneous,6,medium,27,0,5,42.35294117647059,99,200
heterogeneous,6,medium,28,4,2,49.411764705882355,671,200
heterogeneous,6,medium,29,2,4,38.82352941176471,314,200
