strategy,swarm_size,hazard_rate,noise_level,seed,survivors_found,agents_lost,coverage_pct,duplicate_visits,timesteps_run
random,6,medium,0.0,0,4,0,17.352941176470587,1141,200
random,6,medium,0.0,1,4,0,25.294117647058822,1114,200
random,6,medium,0.0,2,4,1,22.647058823529413,953,200
random,6,medium,0.0,3,2,0,25.882352941176475,1112,200
random,6,medium,0.0,4,3,3,17.058823529411764,655,200
random,6,medium,0.0,5,0,6,6.764705882352941,91,29
random,6,medium,0.0,6,0,1,7.0588235294117645,991,200
random,6,medium,0.0,7,0,6,5.588235294117648,116,27
random,6,medium,0.0,8,7,2,20.88235294117647,767,200
random,6,medium,0.0,9,5,1,23.52941176470588,936,200
random,6,medium,0.0,10,4,0,23.235294117647058,1121,200
random,6,medium,0.0,11,5,3,8.529411764705882,632,200
random,6,medium,0.0,12,0,6,1.4705882352941175,61,15
random,6,medium,0.0,13,5,0,22.941176470588236,1122,200
random,6,medium,0.0,14,1,2,5.88235294117647,827,200
random,6,medium,0.0,15,1,1,16.470588235294116,974,200
random,6,medium,0.0,16,2,6,5.588235294117648,70,20
random,6,medium,0.0,17,5,0,16.76470588235294,1143,200
random,6,medium,0.0,18,0,1,20.588235294117645,957,200
random,6,medium,0.0,19,1,6,2.6470588235294117,41,15
random,6,medium,0.0,20,2,1,14.411764705882351,983,200
random,6,medium,0.0,21,0,0,10.0,1166,200
random,6,medium,0.0,22,2,6,7.0588235294117645,81,23
random,6,medium,0.0,23,2,0,18.823529411764707,1136,200
random,6,medium,0.0,24,2,1,15.88235294117647,967,200
random,6,medium,0.0,25,5,0,32.35294117647059,1090,200
random,6,medium,0.0,26,3,4,16.76470588235294,425,200
random,6,medium,0.0,27,1,6,5.294117647058823,80,32
random,6,medium,0.0,28,6,3,25.0,617,200
random,6,medium,0.0,29,1,5,6.470588235294119,75,200
random,6,medium,0.05,0,4,1,23.52941176470588,956,200
random,6,medium,0.05,1,4,0,20.88235294117647,1129,200
random,6,medium,0.05,2,6,1,21.176470588235293,1051,200
random,6,medium,0.05,3,2,3,27.941176470588236,894,200
random,6,medium,0.05,4,3,4,17.352941176470587,685,200
random,6,medium,0.05,5,0,6,6.764705882352941,97,39
random,6,medium,0.05,6,0,2,7.352941176470589,821,200
random,6,medium,0.05,7,2,4,15.88235294117647,398,200
random,6,medium,0.05,8,4,4,17.352941176470587,546,200
random,6,medium,0.05,9,4,3,22.35294117647059,778,200
random,6,medium,0.05,10,3,3,22.35294117647059,850,200
