strategy,swarm_size,hazard_rate,seed,survivors_found,agents_lost,coverage_pct,duplicate_visits,timesteps_run
random,1,slow,0,3,0,14.117647058823529,152,200
random,1,slow,1,2,0,7.941176470588235,173,200
random,1,slow,2,3,1,8.235294117647058,80,108
random,1,slow,3,1,0,10.294117647058822,165,200
random,1,slow,4,0,0,14.117647058823529,152,200
random,1,slow,5,0,1,7.0588235294117645,63,87
random,1,slow,6,0,0,5.294117647058823,182,200
random,1,slow,7,0,1,4.117647058823529,35,49
random,1,slow,8,2,1,6.176470588235294,40,61
random,1,slow,9,2,1,6.470588235294119,39,66
random,1,slow,10,3,1,11.76470588235294,49,89
random,1,slow,11,2,1,5.588235294117648,61,80
random,1,slow,12,0,1,1.4705882352941175,44,49
random,1,slow,13,5,0,18.529411764705884,137,200
random,1,slow,14,0,1,5.0,82,99
random,1,slow,15,0,0,10.294117647058822,165,200
random,1,slow,16,4,0,16.176470588235293,145,200
random,1,slow,17,4,0,14.411764705882351,151,200
random,1,slow,18,0,0,16.470588235294116,144,200
random,1,slow,19,2,1,3.823529411764706,31,44
random,1,slow,20,1,0,10.588235294117647,164,200
random,1,slow,21,1,0,10.882352941176471,163,200
random,1,slow,22,1,1,4.411764705882353,60,75
random,1,slow,23,1,0,11.176470588235295,162,200
random,1,slow,24,0,1,6.470588235294119,55,77
random,1,slow,25,6,0,22.35294117647059,124,200
random,1,slow,26,1,1,3.5294117647058822,78,90
random,1,slow,27,1,1,2.3529411764705883,24,32
random,1,slow,28,2,0,7.647058823529412,174,200
random,1,slow,29,2,0,8.235294117647058,172,200
random,1,medium,0,2,1,3.823529411764706,6,19
random,1,medium,1,2,0,7.941176470588235,173,200
random,1,medium,2,3,0,10.882352941176471,163,200
random,1,medium,3,1,0,10.882352941176471,163,200
random,1,medium,4,1,0,7.0588235294117645,176,200
random,1,medium,5,0,1,3.5294117647058822,7,19
random,1,medium,6,0,0,5.588235294117648,181,200
random,1,medium,7,0,1,2.0588235294117645,6,14
random,1,medium,8,2,0,9.117647058823529,169,200
random,1,medium,9,4,0,12.352941176470589,158,200
random,1,medium,10,4,0,20.294117647058822,131,200
random,1,medium,11,1,1,3.5294117647058822,12,24
random,1,medium,12,0,1,1.4705882352941175,6,15
random,1,medium,13,4,0,12.941176470588237,156,200
random,1,medium,14,0,0,1.7647058823529411,194,200
random,1,medium,15,0,0,10.588235294117647,164,200
random,1,medium,16,2,1,1.1764705882352942,4,8
random,1,medium,17,4,0,11.76470588235294,160,200
random,1,medium,18,0,0,17.058823529411764,142,200
random,1,medium,19,0,1,0.8823529411764706,2,5
random,1,medium,20,1,0,9.117647058823529,169,200
random,1,medium,21,0,0,9.705882352941178,167,200
random,1,medium,22,1,1,2.6470588235294117,12,21
random,1,medium,23,0,0,9.411764705882353,168,200
random,1,medium,24,0,0,10.588235294117647,164,200
random,1,medium,25,5,0,19.705882352941178,133,200
random,1,medium,26,1,0,4.705882352941177,184,200
random,1,medium,27,1,1,1.1764705882352942,1,5
random,1,medium,28,1,1,3.823529411764706,22,35
random,1,medium,29,0,1,2.3529411764705883,10,19
random,1,fast,0,2,1,3.2352941176470593,5,16
random,1,fast,1,2,0,7.941176470588235,173,200
random,1,fast,2,3,0,8.235294117647058,172,200
random,1,fast,3,1,0,10.588235294117647,164,200
random,1,fast,4,1,0,10.0,166,200
random,1,fast,5,0,1,3.5294117647058822,4,17
random,1,fast,6,0,0,4.117647058823529,186,200
random,1,fast,7,0,1,1.4705882352941175,10,15
random,1,fast,8,0,1,2.941176470588235,5,15
random,1,fast,9,4,0,13.823529411764707,153,200
random,1,fast,10,4,0,9.705882352941178,167,200
random,1,fast,11,1,1,2.6470588235294117,1,10
random,1,fast,12,0,0,1.4705882352941175,195,200
random,1,fast,13,4,0,12.058823529411764,159,200
random,1,fast,14,0,0,1.7647058823529411,194,200
random,1,fast,15,0,0,12.352941176470589,158,200
random,1,fast,16,1,1,1.4705882352941175,7,12
random,1,fast,17,4,0,10.882352941176471,163,200
random,1,fast,18,0,0,10.882352941176471,163,200
random,1,fast,19,0,1,1.4705882352941175,2,7
random,1,fast,20,1,0,10.0,166,200
random,1,fast,21,1,0,9.411764705882353,168,200
random,1,fast,22,1,1,2.3529411764705883,4,12
random,1,fast,23,0,0,9.117647058823529,169,200
random,1,fast,24,0,0,9.117647058823529,169,200
random,1,fast,25,6,0,17.058823529411764,142,200
random,1,fast,26,1,0,2.0588235294117645,193,200
random,1,fast,27,1,1,1.1764705882352942,1,5
random,1,fast,28,1,0,4.117647058823529,186,200
random,1,fast,29,0,1,1.4705882352941175,0,5
astar,1,slow,0,6,0,23.823529411764703,119,200
astar,1,slow,1,7,0,42.35294117647059,56,200
astar,1,slow,2,2,1,23.823529411764703,29,110
astar,1,slow,3,1,1,11.470588235294118,0,39
astar,1,slow,4,7,0,39.411764705882355,66,200
astar,1,slow,5,7,0,44.70588235294118,48,200
astar,1,slow,6,4,0,47.35294117647059,39,200
astar,1,slow,7,6,0,42.35294117647059,56,200
astar,1,slow,8,7,0,40.294117647058826,63,200
astar,1,slow,9,4,0,23.52941176470588,120,200
astar,1,slow,10,7,0,45.588235294117645,45,200
astar,1,slow,11,5,0,45.294117647058826,46,200
astar,1,slow,12,1,1,7.941176470588235,0,27
astar,1,slow,13,5,0,32.35294117647059,90,200
astar,1,slow,14,8,0,44.11764705882353,50,200
astar,1,slow,15,1,1,5.294117647058823,0,18
astar,1,slow,16,2,1,7.352941176470589,1,26
astar,1,slow,17,4,1,12.941176470588237,0,44
astar,1,slow,18,4,1,36.17647058823529,9,132
astar,1,slow,19,1,0,22.647058823529413,123,200
astar,1,slow,20,4,0,27.647058823529413,106,200
astar,1,slow,21,4,1,14.411764705882351,8,57
astar,1,slow,22,4,0,30.0,98,200
astar,1,slow,23,6,0,37.94117647058823,71,200
astar,1,slow,24,4,0,35.88235294117647,78,200
astar,1,slow,25,7,1,30.58823529411765,7,111
astar,1,slow,26,3,1,16.176470588235293,9,64
astar,1,slow,27,6,1,34.705882352941174,5,123
astar,1,slow,28,8,1,34.705882352941174,9,127
astar,1,slow,29,5,1,20.588235294117645,1,71
astar,1,medium,0,6,0,33.82352941176471,85,200
astar,1,medium,1,4,1,6.470588235294119,0,22
astar,1,medium,2,2,1,7.352941176470589,0,25
astar,1,medium,3,4,0,32.64705882352941,89,200
astar,1,medium,4,3,1,7.941176470588235,1,28
astar,1,medium,5,6,0,40.88235294117647,61,200
astar,1,medium,6,1,1,5.88235294117647,2,22
astar,1,medium,7,6,0,34.705882352941174,82,200
astar,1,medium,8,3,1,7.941176470588235,0,27
astar,1,medium,9,4,0,22.35294117647059,124,200
astar,1,medium,10,5,0,38.23529411764706,70,200
astar,1,medium,11,2,0,8.235294117647058,172,200
astar,1,medium,12,0,1,1.4705882352941175,6,15
astar,1,medium,13,5,0,24.41176470588235,117,200
astar,1,medium,14,8,0,40.0,64,200
astar,1,medium,15,1,0,20.0,132,200
astar,1,medium,16,2,1,5.0,0,17
astar,1,medium,17,3,1,6.470588235294119,0,22
astar,1,medium,18,1,0,11.76470588235294,160,200
astar,1,medium,19,1,0,15.88235294117647,146,200
astar,1,medium,20,2,0,12.352941176470589,158,200
astar,1,medium,21,0,1,3.823529411764706,1,14
astar,1,medium,22,4,0,21.764705882352942,126,200
astar,1,medium,23,1,0,8.823529411764707,170,200
astar,1,medium,24,4,0,25.588235294117645,113,200
astar,1,medium,25,5,0,42.94117647058823,54,200
astar,1,medium,26,2,0,7.0588235294117645,176,200
astar,1,medium,27,1,1,2.3529411764705883,1,9
astar,1,medium,28,6,0,35.294117647058826,80,200
astar,1,medium,29,2,0,10.588235294117647,164,200
