strategy,seed,survivors_found,agents_lost,timesteps_run,coverage_pct,total_reward
random,0,2,1,19,3.82,
random,1,2,0,200,7.94,
random,2,3,0,200,10.88,
random,3,1,0,200,10.88,
random,4,1,0,200,7.06,
random,5,0,1,19,3.53,
random,6,0,0,200,5.59,
random,7,0,1,14,2.06,
random,8,2,0,200,9.12,
random,9,4,0,200,12.35,
random,10,4,0,200,20.29,
random,11,1,1,24,3.53,
random,12,0,1,15,1.47,
random,13,4,0,200,12.94,
random,14,0,0,200,1.76,
random,15,0,0,200,10.59,
random,16,2,1,8,1.18,
random,17,4,0,200,11.76,
random,18,0,0,200,17.06,
random,19,0,1,5,0.88,
random,20,1,0,200,9.12,
random,21,0,0,200,9.71,
random,22,1,1,21,2.65,
random,23,0,0,200,9.41,
random,24,0,0,200,10.59,
random,25,5,0,200,19.71,
random,26,1,0,200,4.71,
random,27,1,1,5,1.18,
random,28,1,1,35,3.82,
random,29,0,1,19,2.35,
astar,0,6,0,200,33.82,
astar,1,4,1,22,6.47,
astar,2,2,1,25,7.35,
astar,3,4,0,200,32.65,
astar,4,3,1,28,7.94,
astar,5,6,0,200,40.88,
astar,6,1,1,22,5.88,
astar,7,6,0,200,34.71,
astar,8,3,1,27,7.94,
astar,9,4,0,200,22.35,
astar,10,5,0,200,38.24,
astar,11,2,0,200,8.24,
astar,12,0,1,15,1.47,
astar,13,5,0,200,24.41,
astar,14,8,0,200,40.0,
astar,15,1,0,200,20.0,
astar,16,2,1,17,5.0,
astar,17,3,1,22,6.47,
astar,18,1,0,200,11.76,
astar,19,1,0,200,15.88,
astar,20,2,0,200,12.35,
astar,21,0,1,14,3.82,
astar,22,4,0,200,21.76,
astar,23,1,0,200,8.82,
astar,24,4,0,200,25.59,
astar,25,5,0,200,42.94,
astar,26,2,0,200,7.06,
astar,27,1,1,9,2.35,
astar,28,6,0,200,35.29,
astar,29,2,0,200,10.59,
pheromone,0,2,1,21,5.59,
pheromone,1,5,0,200,26.18,
pheromone,2,6,0,200,25.88,
pheromone,3,1,1,32,8.24,
pheromone,4,1,0,200,12.65,
pheromone,5,4,0,200,35.29,
pheromone,6,1,1,34,9.41,
pheromone,7,0,1,14,3.53,
pheromone,8,1,1,27,6.18,
pheromone,9,4,0,200,22.06,
pheromone,10,5,0,200,39.12,
pheromone,11,4,0,200,5.88,
pheromone,12,1,0,200,7.06,
pheromone,13,5,0,200,21.76,
pheromone,14,1,0,200,5.29,
pheromone,15,0,1,24,7.06,
pheromone,16,2,1,9,2.35,
pheromone,17,5,0,200,16.76,
pheromone,18,0,0,200,19.41,
pheromone,19,1,1,3,0.88,
pheromone,20,1,1,31,9.12,
pheromone,21,0,0,200,10.29,
pheromone,22,1,1,10,2.94,
pheromone,23,2,0,200,18.82,
pheromone,24,4,0,200,25.29,
pheromone,25,5,0,200,33.53,
pheromone,26,3,0,200,16.76,
pheromone,27,1,1,30,6.18,
pheromone,28,8,0,200,39.41,
pheromone,29,0,1,19,2.06,
rl,0,2,1,23,3.24,10.015
rl,1,5,0,200,9.12,43.81
rl,2,0,0,200,0.0,-5.0
rl,3,2,0,200,5.29,12.62
rl,4,1,0,200,2.65,1.81
rl,5,3,0,200,9.41,23.96
rl,6,0,1,16,4.71,-9.33
rl,7,0,1,28,0.0,-11.12
rl,8,4,0,200,6.47,33.02
rl,9,4,0,200,10.88,37.59
rl,10,3,0,200,8.24,26.3
rl,11,5,0,200,5.88,46.3
rl,12,1,0,200,4.12,5.98
rl,13,5,0,200,7.06,43.16
rl,14,2,0,200,5.88,12.84
rl,15,1,0,200,5.88,2.82
rl,16,2,0,200,7.35,16.69
rl,17,3,0,200,5.29,22.66
rl,18,0,0,200,7.65,-3.18
rl,19,1,0,200,7.65,6.72
rl,20,0,0,200,0.0,-9.0
rl,21,2,0,200,7.06,13.22
rl,22,3,0,200,4.41,22.35
rl,23,0,0,200,0.88,-8.73
rl,24,0,0,200,5.88,-7.04
rl,25,0,0,200,1.47,-8.55
rl,26,2,1,20,5.29,10.76
rl,27,1,1,5,0.88,0.085
rl,28,4,0,200,5.0,32.53
rl,29,1,1,10,1.47,0.04
