strategy,swarm_size,hazard_rate,survivors_found_mean,survivors_found_std,survivors_found_median,agents_lost_mean,agents_lost_std,agents_lost_median,coverage_pct_mean,coverage_pct_std,coverage_pct_median,duplicate_visits_mean,duplicate_visits_std,duplicate_visits_median
astar,3,fast,3.433333333333333,2.555363977493473,3.5,0.9666666666666667,1.2994251602637363,0.0,19.19607843137255,13.606564855502828,18.823529411764707,352.73333333333335,207.61950166413646,476.0
astar,3,medium,3.6666666666666665,2.0899320783111643,4.0,1.0666666666666667,1.3373502709187435,0.0,20.215686274509803,12.661304617219768,21.176470588235297,338.3333333333333,210.6019833769351,462.5
astar,3,slow,5.333333333333333,2.1708624272765236,5.0,1.1666666666666667,1.4641305136221772,0.0,32.911764705882355,13.800604615236692,33.529411764705884,336.93333333333334,173.73680715645588,439.5
astar,6,fast,3.433333333333333,2.555363977493473,3.5,1.9666666666666666,2.606137759787173,0.0,19.205882352941178,13.59411066922897,18.823529411764707,764.3666666666667,450.95985625554636,1076.0
astar,6,medium,3.6666666666666665,2.0899320783111643,4.0,2.1333333333333333,2.6617771265198686,0.0,20.225490196078432,12.649224620756156,21.176470588235297,746.0,448.0721155011268,1062.5
astar,6,slow,5.5,2.096795584728738,5.5,2.2666666666666666,2.8276142415206804,0.0,34.40196078431372,13.079311480960023,36.029411764705884,794.9,356.6304326852118,1032.0
astar,12,fast,3.433333333333333,2.555363977493473,3.5,4.066666666666666,5.31058366383345,0.0,19.23529411764706,13.56455441140279,18.823529411764707,1568.3,958.1889940277241,2276.0
astar,12,medium,3.6666666666666665,2.0899320783111643,4.0,4.233333333333333,5.302460933757362,0.0,20.254901960784313,12.620669986242513,21.176470588235297,1567.4,924.200702191377,2262.5
astar,12,slow,5.5,2.096795584728738,5.5,4.4,5.617705998862451,0.0,34.431372549019606,13.091951596132406,36.029411764705884,1728.9666666666667,719.4349067549275,2223.0
pheromone,3,fast,3.033333333333333,2.1088211011799007,2.0,1.5666666666666667,1.1651056880677462,1.5,19.02941176470588,12.42616902547058,19.264705882352942,240.5,198.79685524467536,243.5
pheromone,3,medium,4.233333333333333,2.2234383645425253,4.0,1.4333333333333333,1.0726484571581119,1.0,26.705882352941174,12.40797169579409,25.882352941176475,254.26666666666668,173.24269071178,280.0
pheromone,3,slow,6.533333333333333,1.8143742786394723,7.0,1.6333333333333333,0.9278574999588488,1.0,44.813725490196084,12.740815580523968,40.73529411764706,250.0,119.1452315743125,283.0
pheromone,6,fast,3.8333333333333335,2.24504563095218,4.0,3.4,2.0777972421076956,4.0,23.588235294117645,13.118233734686305,25.88235294117647,472.53333333333336,368.4827917502959,416.5
pheromone,6,medium,4.9,2.1229452540572353,5.0,2.7666666666666666,1.9945327571990965,2.5,32.931372549019606,12.798746763062681,32.5,586.1333333333333,359.679141815968,635.0
pheromone,6,slow,8.066666666666666,1.5297809925141155,8.0,2.3666666666666667,1.8659070704090006,2.0,58.64705882352941,12.607868899665268,59.26470588235294,511.06666666666666,289.3677928523316,560.5
pheromone,12,fast,4.133333333333334,2.1129050655654065,4.0,6.733333333333333,3.473379883642438,7.0,25.401960784313722,14.148563876314812,25.0,1045.6333333333334,652.1449745387079,983.5
pheromone,12,medium,5.566666666666666,1.794307729985316,6.0,6.533333333333333,2.800656737431337,5.5,39.666666666666664,12.781546675166425,38.97058823529412,1091.7666666666667,517.5038019739287,1294.0
pheromone,12,slow,9.4,1.0372377109252817,10.0,3.1666666666666665,3.6585594803507524,1.5,68.08823529411765,11.389490715004172,70.73529411764707,742.0333333333333,523.5593358549913,496.0
random,3,fast,1.8666666666666667,1.4558640835892123,2.0,0.7333333333333333,1.1724814044061258,0.0,10.196078431372548,6.798501581388194,11.029411764705884,414.6666666666667,212.14054114054272,539.0
random,3,medium,2.533333333333333,1.8888663510036976,2.0,1.1,1.268993627874548,0.5,12.970588235294118,7.59396060566999,14.852941176470589,357.46666666666664,214.9345904244348,453.0
random,3,slow,3.0,1.8754309849499513,3.5,1.0666666666666667,0.8683449709106095,1.0,18.5,6.120606048322266,19.411764705882355,394.1666666666667,126.31244330363234,410.0
random,6,fast,2.1333333333333333,1.8332810859848756,2.0,1.6666666666666667,2.1549195253928954,1.0,11.950980392156861,7.998435047585015,11.911764705882351,840.0666666666667,395.8277170805443,988.5
random,6,medium,2.566666666666667,2.062528300049662,2.0,2.3666666666666667,2.39947312224326,1.0,14.941176470588236,8.327289698855923,16.61764705882353,714.8,429.7662074936189,944.5
random,6,slow,3.8333333333333335,1.984132457573184,4.0,3.033333333333333,1.9205482933595905,3.0,22.558823529411764,9.91045398547946,22.647058823529413,738.8666666666667,274.0245059936382,806.0
random,12,fast,2.5,1.9073361094685854,2.0,3.2666666666666666,4.548082834696875,1.0,14.73529411764706,9.915027962706551,14.264705882352942,1724.8333333333333,838.2407309290726,2140.0
random,12,medium,2.8666666666666667,2.0296650536196994,3.0,5.0,4.863658336457559,4.0,17.156862745098042,9.362935369001441,17.205882352941174,1439.3,871.745302490236,1695.5
random,12,slow,4.9,1.6681602503026063,5.0,5.366666666666666,3.306037667279559,5.0,30.19607843137255,9.71842367977195,30.735294117647058,1591.8666666666666,523.4009956991395,1660.0
