strategy,seed,timestep,survivors_found
astar,0,1,0
astar,0,2,1
astar,0,3,2
astar,0,4,2
astar,0,5,2
astar,0,6,2
astar,0,7,2
astar,0,8,2
astar,0,9,2
astar,0,10,2
astar,0,11,2
astar,0,12,2
astar,0,13,2
astar,0,14,2
astar,0,15,2
astar,0,16,2
astar,0,17,2
astar,0,18,2
astar,0,19,2
astar,0,20,2
astar,0,21,3
astar,0,22,3
astar,0,23,3
astar,0,24,3
astar,0,25,3
astar,0,26,3
astar,0,27,3
astar,0,28,3
astar,0,29,3
astar,0,30,3
astar,0,31,3
astar,0,32,3
astar,0,33,3
astar,0,34,3
astar,0,35,3
astar,0,36,3
astar,0,37,3
astar,0,38,3
astar,0,39,3
astar,0,40,3
astar,0,41,3
astar,0,42,3
astar,0,43,3
astar,0,44,3
astar,0,45,3
astar,0,46,3
astar,0,47,3
astar,0,48,3
astar,0,49,3
astar,0,50,3
astar,0,51,3
astar,0,52,3
astar,0,53,3
astar,0,54,3
astar,0,55,3
astar,0,56,3
astar,0,57,3
astar,0,58,3
astar,0,59,3
astar,0,60,3
astar,0,61,3
astar,0,62,3
astar,0,63,3
astar,0,64,3
astar,0,65,3
astar,0,66,3
astar,0,67,3
astar,0,68,3
astar,0,69,3
astar,0,70,3
astar,0,71,3
astar,0,72,3
astar,0,73,3
astar,0,74,3
astar,0,75,3
astar,0,76,3
astar,0,77,3
astar,0,78,3
astar,0,79,3
astar,0,80,3
astar,0,81,3
astar,0,82,4
astar,0,83,4
astar,0,84,4
astar,0,85,4
astar,0,86,4
astar,0,87,4
astar,0,88,4
astar,0,89,4
astar,0,90,4
astar,0,91,4
astar,0,92,4
astar,0,93,4
astar,0,94,4
astar,0,95,4
astar,0,96,4
astar,0,97,4
astar,0,98,4
astar,0,99,4
astar,0,100,4
astar,0,101,4
astar,0,102,4
astar,0,103,4
astar,0,104,5
astar,0,105,5
astar,0,106,5
astar,0,107,5
astar,0,108,5
astar,0,109,6
astar,0,110,6
astar,0,111,6
astar,0,112,6
astar,0,113,6
astar,0,114,6
astar,0,115,6
astar,0,116,6
astar,0,117,6
astar,0,118,6
astar,0,119,6
astar,0,120,6
astar,0,121,6
astar,0,122,6
astar,0,123,6
astar,0,124,6
astar,0,125,6
astar,0,126,6
astar,0,127,6
astar,0,128,6
astar,0,129,6
astar,0,130,6
astar,0,131,6
astar,0,132,6
astar,0,133,6
astar,0,134,6
astar,0,135,6
astar,0,136,6
astar,0,137,6
astar,0,138,6
astar,0,139,6
astar,0,140,6
astar,0,141,6
astar,0,142,6
astar,0,143,6
astar,0,144,6
astar,0,145,6
astar,0,146,6
astar,0,147,6
astar,0,148,6
astar,0,149,6
astar,0,150,6
astar,0,151,6
astar,0,152,6
astar,0,153,6
astar,0,154,6
astar,0,155,6
astar,0,156,6
astar,0,157,6
astar,0,158,6
astar,0,159,6
astar,0,160,6
astar,0,161,6
astar,0,162,6
astar,0,163,6
astar,0,164,6
astar,0,165,6
astar,0,166,6
astar,0,167,6
astar,0,168,6
astar,0,169,6
astar,0,170,6
astar,0,171,6
astar,0,172,6
astar,0,173,6
astar,0,174,6
astar,0,175,6
astar,0,176,6
astar,0,177,6
astar,0,178,6
astar,0,179,6
astar,0,180,6
astar,0,181,6
astar,0,182,6
astar,0,183,6
astar,0,184,6
astar,0,185,6
astar,0,186,6
astar,0,187,6
astar,0,188,6
astar,0,189,6
astar,0,190,6
astar,0,191,6
astar,0,192,6
astar,0,193,6
astar,0,194,6
astar,0,195,6
astar,0,196,6
astar,0,197,6
astar,0,198,6
astar,0,199,6
astar,0,200,6
astar,1,1,1
astar,1,2,1
astar,1,3,1
astar,1,4,2
astar,1,5,2
astar,1,6,2
astar,1,7,2
astar,1,8,2
astar,1,9,2
astar,1,10,2
astar,1,11,2
astar,1,12,3
astar,1,13,3
astar,1,14,3
astar,1,15,4
astar,1,16,4
astar,1,17,4
astar,1,18,4
astar,1,19,4
astar,1,20,5
astar,1,21,5
astar,1,22,5
astar,1,23,5
astar,1,24,5
astar,1,25,5
astar,1,26,5
astar,1,27,5
astar,1,28,5
astar,1,29,5
astar,1,30,5
astar,1,31,5
astar,1,32,5
astar,1,33,5
astar,1,34,5
astar,1,35,5
astar,1,36,5
astar,1,37,5
astar,1,38,5
astar,1,39,5
astar,1,40,5
astar,1,41,5
astar,1,42,5
astar,1,43,5
astar,1,44,5
astar,1,45,5
astar,1,46,5
astar,1,47,5
astar,1,48,5
astar,1,49,5
astar,1,50,5
astar,1,51,5
astar,1,52,5
astar,1,53,5
astar,1,54,5
